,tsne_x,tsne_y,labels,names
0,17.440653,-14.920696,1,16210300201_A10
1,17.384289,-0.27546492,1,16210300201_A11
2,14.665854,2.97157,1,16210300201_A12
3,8.045883,-12.531534,1,16210300201_A02
4,19.232405,-12.432249,1,16210300201_A03
5,17.773426,-1.5004747,1,16210300201_A04
6,12.200998,0.37783027,1,16210300201_A05
7,16.459848,-4.0132446,1,16210300201_A06
8,4.4885745,-15.359848,1,16210300201_A08
9,12.45091,-16.774624,1,16210300201_B12
10,3.033861,-21.728708,1,16210300201_B02
11,15.766759,-15.7903,1,16210300201_B03
12,19.016144,-13.159455,1,16210300201_B05
13,18.407347,-10.853417,1,16210300201_B06
14,4.70629,-17.93992,1,16210300201_C10
15,12.363678,23.826574,1,16210300201_C02
16,20.514074,-9.748035,1,16210300201_C05
17,21.93776,2.2185192,1,16210300201_C06
18,20.046833,-10.324164,1,16210300201_C09
19,8.245268,-14.052432,1,16210300201_D10
20,23.563583,5.2401958,1,16210300201_D02
21,10.468131,-2.8407865,1,16210300201_D03
22,8.823047,-15.242043,1,16210300201_D05
23,21.601566,-5.6971283,1,16210300201_D06
24,8.293479,24.92285,1,16210300201_D07
25,8.507034,-16.568283,1,16210300201_E10
26,17.106531,-15.685147,1,16210300201_E11
27,18.012468,-16.559797,1,16210300201_E12
28,23.639263,1.7184564,1,16210300201_E02
29,15.370702,-8.627741,1,16210300201_E04
30,8.162917,-15.29807,1,16210300201_E05
31,20.727467,10.893478,1,16210300201_E07
32,15.134826,-9.001251,1,16210300201_E08
33,22.617073,-12.318199,1,16210300201_F11
34,17.806768,-12.204036,1,16210300201_F04
35,15.909816,-7.2034006,1,16210300201_F05
36,9.28231,-3.4623039,1,16210300201_G11
37,24.453293,-1.4053141,1,16210300201_G02
38,8.812096,-17.290148,1,16210300201_G04
39,-3.1766655,33.580032,1,16210300201_G06
40,16.81065,-3.08226,1,16210300201_G08
41,-3.1742542,-22.454212,1,16210300201_G09
42,10.89742,-2.7464914,1,16210300201_H10
43,17.779415,0.117763676,1,16210300201_H11
44,21.178858,-6.382933,1,16210300201_H12
45,21.815123,-12.84272,1,16210300201_H03
46,16.750345,-12.634226,1,16210300201_H04
47,19.865221,14.82608,1,16210300201_H06
48,10.2275,-2.0871124,1,16210300201_H08
49,9.402239,-2.9936347,1,16210300201_H09
50,8.755108,-15.007792,1,16210300202_A03
51,-9.229201,-22.50534,0,16210300202_A05
52,-15.602798,19.08396,1,16210300202_A06
53,-22.643871,-27.839506,0,16210300202_B02
54,-14.35822,-25.369768,0,16210300202_B04
55,-4.6684375,-22.954773,0,16210300202_B05
56,-10.557653,-22.464449,0,16210300202_B06
57,-17.315735,-26.933992,0,16210300202_C02
58,-13.312503,-21.28315,0,16210300202_C03
59,1.8121829,-22.479635,1,16210300202_C04
60,-9.52203,-25.01284,0,16210300202_C05
61,1.9860835,-13.939837,1,16210300202_C06
62,14.724879,22.768091,1,16210300202_D02
63,10.073076,19.495699,1,16210300202_D03
64,-10.67185,-23.927502,0,16210300202_D04
65,-19.384647,-30.195358,0,16210300202_D05
66,-22.77616,-30.324419,0,16210300202_D06
67,-25.205915,-31.695131,2,16210300202_E02
68,20.226967,11.159213,1,16210300202_E03
69,-11.160427,-25.595303,0,16210300202_E04
70,-19.939823,-27.473661,0,16210300202_E06
71,-8.750112,-21.97682,0,16210300202_F02
72,-17.582645,-27.383072,0,16210300202_F04
73,-20.072243,-30.141632,0,16210300202_F05
74,13.731846,-14.83621,1,16210300202_G03
75,5.4622097,-18.700285,1,16210300202_G05
76,7.68688,-17.9999,1,16210300202_H02
77,-9.108523,-24.58131,0,16210300202_H03
78,-15.587338,-28.11902,0,16210300202_H05
79,-21.584686,-28.45367,0,16210300301_A10
80,-22.065382,-27.595098,0,16210300301_A11
81,-13.453037,-24.653292,0,16210300301_A12
82,-23.590992,-29.347563,0,16210300301_A03
83,-17.852049,-30.046782,0,16210300301_A04
84,2.4185221,-22.184467,1,16210300301_A05
85,-23.663427,-33.84494,2,16210300301_A06
86,6.131179,-20.32895,1,16210300301_A07
87,-17.27915,-28.431791,0,16210300301_A09
88,-25.214342,-34.96686,2,16210300301_B10
89,-4.1702657,-23.203508,0,16210300301_B11
90,-12.345841,37.936802,1,16210300301_B12
91,-9.472484,-22.89474,0,16210300301_B02
92,4.219425,-20.058468,1,16210300301_B03
93,20.16191,-11.947607,1,16210300301_B04
94,10.778998,11.191959,1,16210300301_B05
95,-7.6488123,-21.46008,0,16210300301_B06
96,-19.574198,-29.791424,0,16210300301_B07
97,-21.365784,-27.080664,0,16210300301_B08
98,-7.210263,-25.168268,0,16210300301_B09
99,14.091138,-18.510754,1,16210300301_C10
100,-3.1653771,-23.35189,1,16210300301_C11
101,-8.091279,30.453535,1,16210300301_C12
102,-18.919024,-27.681877,0,16210300301_C02
103,12.574783,-18.374693,1,16210300301_C03
104,-18.89594,-30.471085,0,16210300301_C04
105,-18.250065,-25.126383,0,16210300301_C05
106,21.809834,-5.033782,1,16210300301_C06
107,5.1914034,-20.43131,1,16210300301_C07
108,-23.28756,-32.5755,0,16210300301_C09
109,-24.157784,-30.306185,0,16210300301_D10
110,-8.455241,-24.771402,0,16210300301_D12
111,-16.526472,13.072906,1,16210300301_D02
112,-18.814737,-29.196548,0,16210300301_D03
